BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/13/2017,AP,E0478293,FIRST CHOICE COFFEE SERVICES,1/6/2017,1/6/2017,FOOD & BEVERAGE,47.85,2017,FIRST CHOICE COFFEE SERVICES
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/13/2017,AP,E0478294,FIRST CHOICE COFFEE SERVICES,1/6/2017,1/6/2017,FOOD & BEVERAGE,342.57,2017,FIRST CHOICE COFFEE SERVICES
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/13/2017,AP,E0478295,FIRST CHOICE COFFEE SERVICES,1/6/2017,1/6/2017,FOOD & BEVERAGE,20,2017,FIRST CHOICE COFFEE SERVICES
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/27/2017,AP,E0480724,COCA-COLA BOTTLING COMPANY CONSOLIDATED,1/13/2017,1/13/2017,FOOD & BEVERAGE,281.75,2017,COCA-COLA BOTTLING COMPANY CONSOLIDATED
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CAPITOL HOST,1/3/2017,1/28/2017,FOOD & BEVERAGE,105,2017,CITI PCARD-CAPITOL HOST
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CREAMERY DD,1/3/2017,1/28/2017,FOOD & BEVERAGE,34.5,2017,CITI PCARD-CREAMERY DD
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-DT,1/3/2017,1/28/2017,FOOD & BEVERAGE,555.66,2017,CITI PCARD-DT
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-HARRISTEETER,1/3/2017,1/28/2017,FOOD & BEVERAGE,169.71,2017,CITI PCARD-HARRISTEETER
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-MEDIUM RARE BARRACKS,1/3/2017,1/28/2017,FOOD & BEVERAGE,132.48,2017,CITI PCARD-MEDIUM RARE BARRACKS
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-PRET A MANGER,1/3/2017,1/28/2017,FOOD & BEVERAGE,76.64,2017,CITI PCARD-PRET A MANGER
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-TAYLOR GOURMET,1/3/2017,1/28/2017,FOOD & BEVERAGE,682.23,2017,CITI PCARD-TAYLOR GOURMET
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/28/2017,AP,E0490942,VREEBURG JACOBUS A.,2/16/2017,2/16/2017,FOOD & BEVERAGE,194.94,2017,VREEBURG JACOBUS A.
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-BUCA DI BEPPO,1/29/2017,2/28/2017,FOOD & BEVERAGE,364.65,2017,CITI PCARD-BUCA DI BEPPO
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CAFE RIO FALLS CHURCH,1/29/2017,2/28/2017,FOOD & BEVERAGE,302.17,2017,CITI PCARD-CAFE RIO FALLS CHURCH
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CORNER BAKERY CAFE,1/29/2017,2/28/2017,FOOD & BEVERAGE,93.37,2017,CITI PCARD-CORNER BAKERY CAFE
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-FAMOUS DAVE'S,1/29/2017,2/28/2017,FOOD & BEVERAGE,543.56,2017,CITI PCARD-FAMOUS DAVE'S
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-HARRIS TEETER,1/29/2017,2/28/2017,FOOD & BEVERAGE,20.66,2017,CITI PCARD-HARRIS TEETER
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-SQ  SQ  BULLFROG BAGEL,1/29/2017,2/28/2017,FOOD & BEVERAGE,135,2017,CITI PCARD-SQ  SQ  BULLFROG BAGEL
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-WHOLEFOODS.COM,1/29/2017,2/28/2017,FOOD & BEVERAGE,775.88,2017,CITI PCARD-WHOLEFOODS.COM
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/3/2017,AP,E0473700,FIRST CHOICE COFFEE SERVICES,12/22/2016,12/22/2016,FOOD & BEVERAGE,367.29,2016,FIRST CHOICE COFFEE SERVICES
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/3/2017,AP,E0473702,COCA-COLA BOTTLING COMPANY CONSOLIDATED,12/23/2016,12/23/2016,FOOD & BEVERAGE,120,2016,COCA-COLA BOTTLING COMPANY CONSOLIDATED
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-DT,11/29/2016,12/28/2016,FOOD & BEVERAGE,264.6,2016,CITI PCARD-DT
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-HARRISTEETER,11/29/2016,12/28/2016,FOOD & BEVERAGE,116.92,2016,CITI PCARD-HARRISTEETER
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-NANDOS OF THE YARDS,11/29/2016,12/28/2016,FOOD & BEVERAGE,203.17,2016,CITI PCARD-NANDOS OF THE YARDS
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-PRET A MANGER,11/29/2016,12/28/2016,FOOD & BEVERAGE,90.32,2016,CITI PCARD-PRET A MANGER
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-SAMS INTERNET,11/29/2016,12/28/2016,FOOD & BEVERAGE,73.19,2016,CITI PCARD-SAMS INTERNET
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-TAYLOR GOURMET,11/29/2016,12/28/2016,FOOD & BEVERAGE,757.45,2016,CITI PCARD-TAYLOR GOURMET
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/30/2017,AP,E0482295,MIN JAMES B.,1/16/2017,1/16/2017,FOOD & BEVERAGE,508.37,2017,MIN JAMES B.
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CORNER BAKERY,1/3/2017,1/28/2017,FOOD & BEVERAGE,319,2017,CITI PCARD-CORNER BAKERY
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-HARRISTEETER,1/3/2017,1/28/2017,FOOD & BEVERAGE,124.72,2017,CITI PCARD-HARRISTEETER
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/14/2017,AP,E0495530,MIN JAMES B.,3/3/2017,3/3/2017,FOOD & BEVERAGE,429.04,2017,MIN JAMES B.
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/16/2017,AP,E0495545,MIN JAMES B.,2/10/2017,2/10/2017,FOOD & BEVERAGE,379.2,2017,MIN JAMES B.
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CHICK-FIL-A,1/29/2017,2/28/2017,FOOD & BEVERAGE,329.56,2017,CITI PCARD-CHICK-FIL-A
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CORNER BAKERY,1/29/2017,2/28/2017,FOOD & BEVERAGE,220,2017,CITI PCARD-CORNER BAKERY
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-FIRST CHOICE COFFEE SE,1/29/2017,2/28/2017,FOOD & BEVERAGE,466.55,2017,CITI PCARD-FIRST CHOICE COFFEE SE
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-HARRIS TEETER,1/29/2017,2/28/2017,FOOD & BEVERAGE,152.95,2017,CITI PCARD-HARRIS TEETER
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-HARRISTEETER,1/29/2017,2/28/2017,FOOD & BEVERAGE,36.14,2017,CITI PCARD-HARRISTEETER
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-CORNER BAKERY,11/29/2016,12/28/2016,FOOD & BEVERAGE,460.9,2016,CITI PCARD-CORNER BAKERY
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-FIRST CHOICE COFFEE SE,11/29/2016,12/28/2016,FOOD & BEVERAGE,601.2,2016,CITI PCARD-FIRST CHOICE COFFEE SE
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-HARRIS TEETER,11/29/2016,12/28/2016,FOOD & BEVERAGE,35.87,2016,CITI PCARD-HARRIS TEETER
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-HARRISTEETER,11/29/2016,12/28/2016,FOOD & BEVERAGE,56.84,2016,CITI PCARD-HARRISTEETER
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484036,CAPITOL  HOST,1/24/2017,1/24/2017,FOOD & BEVERAGE,97.75,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484037,CAPITOL  HOST,1/24/2017,1/24/2017,FOOD & BEVERAGE,76.86,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484038,CAPITOL  HOST,1/20/2017,1/20/2017,FOOD & BEVERAGE,36.63,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484039,CAPITOL  HOST,1/12/2017,1/12/2017,FOOD & BEVERAGE,90.5,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484040,CAPITOL  HOST,1/12/2017,1/12/2017,FOOD & BEVERAGE,119.24,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484041,CAPITOL  HOST,1/10/2017,1/10/2017,FOOD & BEVERAGE,73.25,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484043,CAPITOL  HOST,1/6/2017,1/6/2017,FOOD & BEVERAGE,73.25,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484044,CAPITOL  HOST,1/5/2017,1/5/2017,FOOD & BEVERAGE,73.25,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/10/2017,AP,E0485817,BERRET EMILY C.,2/1/2017,2/1/2017,FOOD & BEVERAGE,38,2017,BERRET EMILY C.
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CAP MARKET CAF,1/3/2017,1/28/2017,FOOD & BEVERAGE,64.35,2017,CITI PCARD-CAP MARKET CAF
